number,name,tProj,tMoney,sciProj,sciMoney,techProj,techMoney
1,上海交通大学,527,30665.07,414,24033.07,113,6632
2,浙江大学,485,28535.5,356,20986.5,129,7549
3,中山大学,419,24406.4,362,21104.4,57,3302
4,复旦大学,383,22074.5,335,19378.5,48,2696
5,华中科技大学,356,20799.93,240,13941.33,116,6858.6
6,北京大学,327,19026.1,274,16092,53,2934.1
7,同济大学,294,17175,190,11128,104,6047
8,中南大学,269,15510.5,173,9950.5,96,5560
9,清华大学,254,15426,114,7080,140,8346
10,四川大学,259,15118.8,189,11025,70,4093.8
11,武汉大学,256,14974,170,10075,86,4899
12,南京大学,229,13749.5,179,10892.5,50,2857
13,西安交通大学,228,13368.5,123,7226.5,105,6142
14,山东大学,225,13159.2,153,8975.2,72,4184
15,哈尔滨工业大学,204,12260,49,3015,155,9245
16,天津大学,192,11588.5,70,4365.5,122,7223
17,吉林大学,193,11559,134,8140,59,3419
18,大连理工大学,181,10850,81,5043,100,5807
19,中国科学技术大学,175,10809.5,131,8199.5,44,2610
20,厦门大学,173,10249,123,7404,50,2845
21,东南大学,173,10034,59,3391,114,6643
22,北京航空航天大学,163,9884,64,3914,99,5970
23,苏州大学,165,9606,121,7020,44,2586
24,华南理工大学,157,9342,63,3742,94,5600
25,南开大学,150,8973.9,117,7013.9,33,1960
26,华中农业大学,133,7841.5,124,7376.5,9,465
27,南京医科大学,138,7709.3,135,7565,3,144.3
28,南方医科大学,134,7569,132,7457,2,112
29,西北工业大学,122,7266,36,2215,86,5051
30,重庆大学,120,7207,34,2064,86,5143
31,首都医科大学,122,6795,118,6551,4,244
32,湖南大学,112,6779.8,30,1863.8,82,4916
33,南京农业大学,116,6758,112,6567,4,191
34,北京理工大学,109,6593,54,3418,55,3175
35,电子科技大学,113,6574,18,1022,95,5552
36,兰州大学,105,6283.5,99,5926.5,6,357
37,华东师范大学,101,6022.5,84,5014.5,17,1008
38,中国农业大学,102,5986,93,5521,9,465
39,北京科技大学,99,5960,17,1064,82,4896
40,西北农林科技大学,100,5928.5,84,5056.5,16,872
41,北京师范大学,100,5842,76,4554,24,1288
42,东北大学,95,5703.5,19,1165.5,76,4538
43,深圳大学,97,5615,47,2607,50,3008
44,中国地质大学（武汉）,89,5505,74,4640,15,865
45,华东理工大学,87,5393,67,4231,20,1162
46,暨南大学,91,5324,71,4213,20,1111
47,合肥工业大学,87,5210.5,27,1707.5,60,3503
